metric,error,true_label,embedding,type_number
num_tables,6.055,-0.1979*,-0.0753,6
num_columns,3.6248,-0.0514,0.0601,6
num_joins,-5.1776,-0.0340,-0.0460,6
num_filters,3.5046,-0.0438,0.0562,6
longest_path_len,0.4066,-0.2689***,-0.1300,6
num_nodes,-8.4765,-0.0283,-0.0343,6
join_tree_diameter,0.2367,-0.0752,-0.0221,6
num_blocking_ops,3.0838,0.0648,-0.0359,6
num_nested_loop,-4.8036,-0.2049*,-0.0006,6
max_est_join_input_rows,-25.4581,-0.0313,-0.0405,6
sum_est_join_input_rows,28.5038,-0.0285,-0.0473,6
num_highly_selective_filters,-0.1105,-0.2021*,-0.1403,6
log_filter_selectivity_product,1.3563,0.1285,0.1076,6
optimizer_est_cost_root,-0.3183,0.1117,0.0124,6
log_max_est_rows,13.0223,0.0337,0.0506,6
log_sum_est_rows,-13.8081,0.0820,0.0721,6
max_log_card_error,-0.3281,-0.0463,0.1199,6
